Date,Open,High,Low,Close,Adj Close,Volume
2024-04-23,78.25,80.1,78.16,79.98,79.98,3355415
2024-04-22,77.86,78.99,77.57,78.78,78.78,3299618
2024-04-19,78.72,79.53,78.5616,78.85,78.85,7605832
2024-04-18,79.12,79.49,78.2,78.78,78.78,4529648
2024-04-17,80.28,80.96,78.69,78.91,78.91,5967324
2024-04-16,81.31,81.72,81.01,81.33,81.33,4285407
2024-04-15,81,81.7,80.09,81.65,81.65,10203249
2024-04-12,83,83.41,81.23,81.53,81.53,9724893
2024-04-11,81.67,81.67,80.79,81.55,81.55,6287749
2024-04-10,81.39,82.11,80.43,82.09,82.09,6834137
2024-04-09,82.13,82.25,80.87,81.15,81.15,3895468
2024-04-08,82.38,82.73,81.165,82.2,82.2,3757223
2024-04-05,82.58,83.25,82.12,82.4,82.4,3842792
2024-04-04,81.07,82.84,80.43,82.27,82.27,6112168
2024-04-03,81.31,81.82,81.095,81.25,81.25,3254770
2024-04-02,80.63,80.9194,79.88,80.79,80.79,4241700
2024-04-01,79.08,80.2,78.8,79.67,79.67,4000055
2024-03-28,78.27,78.94,78.02,78.73,78.73,4745626
2024-03-27,76.92,77.54,76.82,77.51,77.51,2412290
2024-03-26,77.94,77.98,77.21,77.29,77.29,2776793
2024-03-25,76.99,78.21,76.99,77.76,77.76,2189168
2024-03-22,77.07,77.12,76.31,76.68,76.68,2397010
2024-03-21,76.83,77,76.1398,76.82,76.82,2741978
2024-03-20,77.2,77.52,76.62,77.25,77.25,4254560
2024-03-19,78.09,78.775,77.94,78.43,78.43,2720515
2024-03-18,77.02,78.175,76.61,77.98,77.98,3403740
2024-03-15,75.97,76.64,75.87,76.33,76.33,3141785
2024-03-14,75.9,76.76,75.74,76.3,76.3,4238554
2024-03-13,74.75,75.25,74.37,75.09,75.09,4435527
2024-03-12,73.42,74.16,73.01,73.35,73.35,4134645
2024-03-11,72.97,73.9,72.37,73.62,73.62,3072580
2024-03-08,74.02,74.08,72.99,73.36,73.36,4038736
2024-03-07,73.56,74.77,73.4,74.23,74.23,3758458
2024-03-06,74.67,75.73,74.16,74.34,74.34,4988931
2024-03-05,73.62,74.67,73.115,73.45,73.45,4262691
2024-03-04,75.43,75.5,73.83,74.01,74.01,3332739
2024-03-01,74.74,75.94,74.53,74.96,74.96,5359729
2024-02-29,74.07,74.45,73.2,73.36,73.36,3861400
2024-02-28,74.461,74.74,73.265,73.62,73.62,3991538
2024-02-27,73.21,74.16,73.14,73.85,73.85,5301663
2024-02-26,71.55,73.24,71.48,72.79,72.79,3578474
2024-02-23,72.19,72.6601,71.66,71.92,71.92,3403247
2024-02-22,72.99,74.05,72.91,73.6,73.6,2748494
2024-02-21,72.17,73.22,72.16,73.2,73.2,3781155
2024-02-20,73.44,73.45,72.06,72.42,72.42,3468577
2024-02-16,72.95,73.63,72.4399,73.41,73.41,4209184
2024-02-15,71.77,73.2,71.77,72.84,72.84,4230876
2024-02-14,73.07,73.531,71.37,71.55,71.55,4632503
2024-02-13,72.54,73.22,71.95,72.65,72.65,3631981
2024-02-12,71.53,72.13,71.53,72.11,72.11,3838953
2024-02-09,71.94,72.28,71.1,71.67,71.67,2761712
2024-02-08,70.27,71.6,70.22,71.52,71.52,6147399
2024-02-07,68.94,69.43,68.7,69.42,69.42,5234154
2024-02-06,68.65,69.1,68.12,68.81,68.81,4413444
2024-02-05,67.83,68.59,66.85,68.18,68.18,3284529
2024-02-02,68.03,68.36,67.19,67.51,67.51,5659648
2024-02-01,71.59,71.99,68.9601,69.07,69.07,13358717
2024-01-31,72.32,72.37,70.66,70.92,70.92,5073719
2024-01-30,72,73.1,71.72,72.81,72.81,3559179
2024-01-29,72.43,72.45,71.48,72.05,72.05,3444897
2024-01-26,71.98,73.1866,71.13,73.1,73.1,4822085
2024-01-25,71.48,72.45,71.015,72.23,72.23,4979571
2024-01-24,69.97,70.88,69.66,70.54,70.54,4857614
2024-01-23,69.34,70.3279,69.12,69.66,69.66,3164812
2024-01-22,68.88,70.5,68.72,69.69,69.69,4992451
2024-01-19,69.41,69.72,68.21,68.82,68.82,4668863
2024-01-18,68.36,69.31,67.79,69.06,69.06,4685914
2024-01-17,66.48,67.96,66.282,67.94,67.94,4462991
2024-01-16,68.09,68.25,67.11,67.25,67.25,4904795
2024-01-12,69.38,69.81,67.57,68.02,68.02,7198815
2024-01-11,68.35,68.92,67.11,67.65,67.65,7436422
2024-01-10,68.27,68.68,66.34,66.56,66.56,6307736
2024-01-09,67.3,67.95,66.71,67.39,67.39,4394073
2024-01-08,66.07,66.49,65.54,66.4,66.4,6270280
2024-01-05,68.83,69.315,68.36,69.03,69.03,4996548
2024-01-04,68.19,68.39,66.4,67.57,67.57,5001044
2024-01-03,66.92,68.36,66.72,68.19,68.19,7136842
2024-01-02,67.56,67.56,65.48,65.77,65.77,7908570
2023-12-29,67.68,67.75,66.63,66.65,66.65,3305507
2023-12-28,68.35,68.94,66.975,67.18,67.18,5754450
2023-12-27,70.02,70.17,68.9,68.92,68.92,3785632
