Date,Open,High,Low,Close,Adj Close,Volume
2024-12-31,41.0362,41.5616,40.9206,41.4455,41.4455,21872121
2024-12-30,40.9592,41.1406,40.5698,40.9085,40.9085,24331868
2024-12-27,40.8878,41.3583,40.7076,40.9132,40.9132,21050181
2024-12-26,40.9569,40.9882,40.6665,40.918,40.918,15900462
2024-12-24,40.71,41.0293,40.458,40.952,40.952,15526089
2024-12-23,40.2939,40.7439,40.0375,40.6084,40.6084,35596064
2024-12-20,39.9683,40.5105,39.8676,40.3713,40.3713,37207118
2024-12-19,40.7504,40.8847,39.949,39.9779,39.9779,52091754
2024-12-18,41.4605,41.638,40.3282,40.3282,40.3282,40892330
2024-12-17,41.5296,41.6333,41.1679,41.5565,41.5565,33358590
2024-12-16,42.6649,42.6889,41.8348,41.8684,41.8684,26089568
2024-12-13,43.1303,43.1446,42.6889,42.8089,42.8089,23286288
2024-12-12,43.279,43.375,42.9816,43.0246,43.0246,22661286
2024-12-11,43.3822,43.5381,43.1638,43.375,43.375,24121451
2024-12-10,43.8164,43.9124,43.2407,43.303,43.303,24280187
2024-12-09,44.042,44.2698,43.562,43.6005,43.6005,24621956
2024-12-06,44.3226,44.3394,43.5884,43.6724,43.6724,27309292
2024-12-05,44.4473,44.7184,44.2404,44.4258,44.4258,23615940
2024-12-04,45.2894,45.3278,43.9892,44.253,44.253,33886275
2024-12-03,45.6061,45.726,45.1507,45.3469,45.3469,18639145
2024-12-02,45.822,45.8987,44.944,45.3518,45.3518,23123616
2024-11-29,45.7068,45.9132,45.6589,45.8365,45.8365,14210135
2024-11-27,45.6445,46.0282,45.5821,45.6397,45.6397,16252676
2024-11-26,45.8172,45.9084,45.4765,45.6877,45.6877,25981803
2024-11-25,46.7816,46.8968,45.6373,45.75,45.75,34337108
2024-11-22,46.5369,46.9832,46.4937,46.6712,46.6712,22462621
2024-11-21,46.4217,46.9497,46.3211,46.5993,46.5993,34952293
2024-11-20,45.9275,46.2586,45.7885,46.225,46.225,18671472
2024-11-19,45.678,46.0379,45.5461,45.7645,45.7645,24797671
2024-11-18,45.8125,46.1482,45.6109,46.0571,46.0571,26297366
