Date,Open,High,Low,Close,Adj Close,Volume
2024-08-29,46.02,46.58,45.1575,45.885,45.885,5392007
2024-08-28,45.05,48.2399,44.91,47.58,47.58,5543998
2024-08-27,46.53,46.92,44.945,44.99,44.99,2718312
2024-08-26,45.66,47.05,45.57,45.9,45.9,3060615
2024-08-23,47.55,48.14,45.73,45.94,45.94,6822945
2024-08-22,46.35,49.16,46.19,48.865,48.865,5196910
2024-08-21,46.07,48.01,45.99,46.89,46.89,5104947
2024-08-20,44.74,46.4393,44.52,46.17,46.17,6027932
2024-08-19,45.29,45.45,44.03,44.43,44.43,5124229
2024-08-16,46.12,46.45,45,45.23,45.23,4001762
2024-08-15,45.83,46.56,44.66,45.335,45.335,6014297
2024-08-14,49.48,49.9,47.06,47.14,47.14,5644615
2024-08-13,53.34,53.5,50.33,50.42,50.42,5265774
2024-08-12,54.725,56.17,51.22,54.76,54.76,6186453
2024-08-09,62.73,64.05,54.51,55.78,55.78,8224421
2024-08-08,67.74,67.74,62.61,63.47,63.47,6181786
2024-08-07,61.43,71.8,60.38,68.955,68.955,12113256
2024-08-06,77.48,80.42,62,70.47,70.47,17972832
2024-08-05,90.08,91.02,72.37,87.26,87.26,34747553
2024-08-02,54.46,64.45,53.82,62.68,62.68,34052000
2024-08-01,46.11,52.13,45.83,50.51,50.51,10034730
2024-07-31,46.117,46.54,44.62,46.25,46.25,6750755
2024-07-30,45.76,49.14,45.65,47.37,47.37,7642164
2024-07-29,46.37,47.25,45.68,45.91,45.91,5320102
2024-07-26,48.05,48.46,46.72,46.78,46.78,8958514
2024-07-25,48.5677,51.04,46.61,49.59,49.59,17223439
2024-07-24,44.7,49.67,44.67,49.19,49.19,15192014
2024-07-23,43.68,43.8804,42.68,43.32,43.32,3291530.5
2024-07-22,45.24,45.42,43.38,43.68,43.68,4132675.5
2024-07-19,44.96,46.68,44.36,46.12,46.12,6748272.5
2024-07-18,42,44.8892,41.7604,44.24,44.24,5880610.75
2024-07-17,42.64,43.54,42.08,43,43,6436195
2024-07-16,41.16,41.64,40.96,41.64,41.64,2382198.25
2024-07-15,40.32,41.4,40.12,41.24,41.24,2597364
2024-07-12,40.7,40.72,39.98,40.64,40.64,2987977.75
2024-07-11,40.64,41.86,40.5752,41.36,41.36,4569934.5
2024-07-10,41.24,41.28,40.56,41.12,41.12,2107588.5
2024-07-09,41.04,41.46,40.88,41.2,41.2,1292436.5
2024-07-08,41.36,41.4,40.84,41.08,41.08,1716014.5
2024-07-05,41.52,42.16,41.46,41.84,41.84,1744158.75
2024-07-03,41.4,41.8048,41.28,41.68,41.68,1128495.75
2024-07-02,42.2,42.24,41.36,41.48,41.48,1265969.5
2024-07-01,43.24,43.44,41.96,41.96,41.96,2351460.5
2024-06-28,43.16,43.8,42.88,43.68,43.68,2017420.5
2024-06-27,43.52,43.6,43.12,43.24,43.24,1770747.75
2024-06-26,44.04,44.24,43.4,43.52,43.52,1854092
2024-06-25,44.76,45.08,43.8,44,44,1825415.5
2024-06-24,45.44,45.52,44.32,44.8,44.8,2741842.5
2024-06-21,46.32,46.84,44.76,45.16,45.16,2864313.25
2024-06-20,44.44,46.32,44.38,46.2,46.2,3247557.25
2024-06-18,44.16,44.96,44.02,44.52,44.52,2059120.5
