Date,Open,High,Low,Close,Adj Close,Volume
2024-03-04,254.78,255.5818,254.532,254.65,254.65,4966760
2024-03-01,253.04,255.065,252.6847,254.9,254.9,3693844
2024-02-29,252.68,253.3,251.12,252.58,252.58,2610405
2024-02-28,251.1,251.9612,250.97,251.52,251.52,2192249
2024-02-27,251.79,252.1,250.945,251.94,251.94,2024611
2024-02-26,252.02,252.44,251.202,251.24,251.24,2585834
2024-02-23,252.46,252.92,251.53,252,252,2855952
2024-02-22,249.96,252.21,249.61,251.83,251.83,3872960
2024-02-21,246.05,246.99,245.13,246.95,246.95,2174914
2024-02-20,247.55,247.7508,245.76,246.9,246.9,3445129
2024-02-16,249.61,250.225,248.1,248.46,248.46,2909166
2024-02-15,248.34,249.9398,248.02,249.77,249.77,3181946
2024-02-14,246.87,248.03,245.61,247.86,247.86,2606859
2024-02-13,245.61,246.32,243.35,245.15,245.15,5832619
2024-02-12,249.04,250.3359,248.72,249.14,249.14,2769737
2024-02-09,247.75,249.15,247.51,248.9,248.9,2367717
2024-02-08,246.81,247.47,246.51,247.39,247.39,2668150
2024-02-07,246,247.09,245.385,246.78,246.78,2305718
2024-02-06,244.48,245.02,243.9,244.85,244.85,2568422
2024-02-05,244.83,244.99,242.74,244.02,244.02,3324777
2024-02-02,242.96,246.01,242.6922,245.18,245.18,3876617
2024-02-01,240.9,243.1,240.04,243.1,243.1,3986825
2024-01-31,242.84,243.24,239.856,239.87,239.87,3884488
2024-01-30,244.07,244.33,243.57,243.98,243.98,3098878
2024-01-29,242.34,244.34,242.125,244.32,244.32,3463378
2024-01-26,242.31,243.02,241.73,242.12,242.12,2858242
2024-01-25,242.19,242.5586,241.07,242.32,242.32,2993885
2024-01-24,242.66,242.87,240.85,240.98,240.98,3002976
2024-01-23,241.02,241.17,240.06,241.02,241.02,3015293
2024-01-22,240.54,241.4,240.05,240.58,240.58,3952716
2024-01-19,237.38,239.735,236.76,239.54,239.54,3850769
2024-01-18,235.64,236.955,234.62,236.66,236.66,3509912
2024-01-17,234.41,234.87,233.43,234.59,234.59,3336627
2024-01-16,236.29,236.9102,235.1,236.01,236.01,3646664
2024-01-12,237.98,238.37,236.42,237.11,237.11,3053406
2024-01-11,237.52,237.86,234.92,237.07,237.07,3375598
2024-01-10,236.12,237.6607,235.79,237.23,237.23,3343377
2024-01-09,235.1514,236.56,234.74,236.01,236.01,4524784
2024-01-08,233.27,236.56,233.26,236.45,236.45,4156552
2024-01-05,232.7,234.39,232.4,233.12,233.12,3305525
2024-01-04,233.26,234.55,232.66,232.77,232.77,3681857
2024-01-03,234.53,234.735,233.11,233.37,233.37,3925518
2024-01-02,235.65,236.51,234.765,235.63,235.63,4847610
2023-12-29,238.14,238.47,236.48,237.22,237.22,4188762
2023-12-28,238.25,238.7399,238.13,238.13,238.13,4099416
2023-12-27,238,238.44,237.47,238.25,238.25,5103732
2023-12-26,236.98,238.31,236.8559,237.8,237.8,3829400
2023-12-22,236.5896,237.515,235.64,236.63,236.63,3662383
2023-12-21,235.08,236.17,234.06,236.09,236.09,4427026
2023-12-20,237.74,238.69,234.44,234.51,234.51,5149738
2023-12-19,236.72,238.095,236.72,238.06,238.06,3731693
2023-12-18,235.86,236.815,235.82,236.33,236.33,3855054
2023-12-15,234.79,235.9387,234.63,235.31,235.31,4298616
2023-12-14,235.66,236.58,234.19,235.63,235.63,5014530
2023-12-13,230.77,234.425,230.545,234.24,234.24,4231060
2023-12-12,229.59,230.7801,228.96,230.66,230.66,3214921
2023-12-11,228.69,229.83,228.51,229.79,229.79,3076566
2023-12-08,227.36,229.09,227.27,228.85,228.85,2740235
2023-12-07,226.99,228.05,226.71,227.76,227.76,2724304
2023-12-06,227.89,228.1596,225.88,225.95,225.95,3172934
2023-12-05,226.58,227.4535,226.205,226.91,226.91,3019047
2023-12-04,226.58,227.43,226.08,227.35,227.35,3837805
2023-12-01,225.99,228.33,225.585,228.17,228.17,4078686
2023-11-30,225.73,226.385,224.82,226.26,226.26,3147997
2023-11-29,226.38,227.19,225.11,225.33,225.33,2653679
2023-11-28,224.77,225.905,224.45,225.23,225.23,2761895
2023-11-27,225.12,225.53,224.77,225.09,225.09,2409965
2023-11-24,225.04,225.44,225.01,225.38,225.38,1219467
2023-11-22,224.85,225.76,224.53,225.14,225.14,2880548
2023-11-21,224.25,224.43,223.61,224.18,224.18,2513822
2023-11-20,223.11,225.25,223,224.79,224.79,2876890
2023-11-17,222.8659,223.44,222.42,223.11,223.11,3124318
2023-11-16,222.3,222.88,221.6034,222.55,222.55,2754455
2023-11-15,222.86,223.8,222.29,222.7,222.7,2819245
2023-11-14,220.51,222.78,220.51,222.15,222.15,4055052
2023-11-13,216.81,217.8595,216.34,217.33,217.33,2829434
2023-11-10,215.1,217.61,214.45,217.46,217.46,3303916
2023-11-09,216.63,216.78,214.06,214.27,214.27,2771197
2023-11-08,216.34,216.72,215,216.11,216.11,2813801
2023-11-07,215.38,216.5,214.9,216.14,216.14,3194330
2023-11-06,215.83,216.066,214.47,215.5,215.5,2915024
2023-11-03,214.32,216.2,214.27,215.41,215.41,4217119
2023-11-02,210.85,213.11,210.85,213.01,213.01,4111550
2023-11-01,207.14,209.22,206.87,208.86,208.86,5789255
2023-10-31,205.63,206.995,204.82,206.79,206.79,3325262
2023-10-30,204.53,205.98,203.76,205.46,205.46,3562658
2023-10-27,205,205.11,202.44,203.12,203.12,4290651
2023-10-26,205.92,206.3599,203.63,204.22,204.22,4133356
2023-10-25,208.45,208.535,206.0898,206.36,206.36,3454535
2023-10-24,209.0698,210.21,208.12,209.47,209.47,3180907
2023-10-23,207.67,209.97,206.66,207.9,207.9,5472980
2023-10-20,210.86,211.05,208.38,208.47,208.47,4447576
2023-10-19,213.4,214.35,210.69,211.08,211.08,4322728
2023-10-18,215.11,215.63,212.59,213.09,213.09,3254961
2023-10-17,214.37,217.38,214.17,216.29,216.29,3627690
2023-10-16,214.73,216.46,214.56,216.01,216.01,3361558
2023-10-13,215.53,216.01,212.75,213.53,213.53,3269321
2023-10-12,216.63,216.715,213.53,214.74,214.74,3244177
2023-10-11,216.2,216.63,214.88,216.48,216.48,3033014
2023-10-10,214.6,216.95,214.57,215.63,215.63,3494612
