Date,Open,High,Low,Close,Adj Close,Volume
2024-12-31,516.131,516.889,509.5,510.469,510.469,29160432
2024-12-30,514.743,518.587,511.068,514.843,514.843,34635581
2024-12-27,525.227,525.666,517.089,521.782,521.782,33889998
2024-12-26,527.534,530.449,525.527,528.812,528.812,19170027
2024-12-24,524.049,529.261,523.41,529.171,529.171,17584388
2024-12-23,518.777,522.471,515.362,522.092,522.092,29717032
2024-12-20,508.86,523.195,507.713,517.054,517.054,60717902
2024-12-19,519.576,520.145,512.239,512.579,512.579,46585952
2024-12-18,533.494,535.218,513.416,514.871,514.871,54873004
2024-12-17,534.7,535.816,532.476,534.142,534.142,28667806
2024-12-16,531.43,537.481,531.35,536.504,536.504,32079158
2024-12-13,528.818,531.516,525.668,528.888,528.888,28869766
2024-12-12,526.047,527.323,524.391,524.871,524.871,23650710
2024-12-11,523.375,528.967,522.966,528.28,528.28,32268460
2024-12-10,521.999,523.754,517.553,518.988,518.988,24425645
2024-12-09,523.923,524.721,519.606,520.763,520.763,20738597
2024-12-06,520.863,525.089,520.733,524.851,524.851,23836392
2024-12-05,521.69,522.418,519.806,520.195,520.195,18226047
2024-12-04,518.71,521.9,517.992,521.64,521.64,26167218
2024-12-03,512.359,515.549,511.781,515.27,515.27,18655645
2024-12-02,509.429,514.662,509.039,513.695,513.695,25225245
2024-11-29,504.364,508.761,503.746,508.162,508.162,15381578
2024-11-27,506.597,506.667,500.376,503.736,503.736,25034932
2024-11-26,506.507,508.561,505.66,507.733,507.733,26639518
2024-11-25,508.321,509.869,502.702,505.022,505.022,26457059
2024-11-22,502.858,504.962,501.224,504.224,504.224,23900624
2024-11-21,504.673,505.391,496.02,503.417,503.417,34633941
2024-11-20,501.602,501.922,495.018,501.612,501.612,29657289
2024-11-19,495.881,502.394,495.541,501.902,501.902,24599162
2024-11-18,496.588,500.586,495.193,498.472,498.472,27277093
2024-11-15,501.384,501.772,492.959,495.033,495.033,51620837
2024-11-14,510.325,511.203,506.198,507.115,507.115,28768567
2024-11-13,510.814,513.386,508.371,510.665,510.665,24643696
2024-11-12,512.18,513.067,508.252,511.323,511.323,25915504
2024-11-11,513.775,513.984,509.339,512.249,512.249,24242517
2024-11-08,511.447,513.324,510.824,512.549,512.549,22995662
2024-11-07,506.826,512.738,506.767,511.951,511.951,32955126
2024-11-06,499.01,504.842,498.054,504.015,504.015,43215965
2024-11-05,486.1,491.355,486.011,490.687,490.687,24429231
2024-11-04,485.314,487.865,482.755,484.506,484.506,23363898
2024-11-01,483.998,489.232,483.698,485.922,485.922,33760255
2024-10-31,490.856,490.906,482.253,482.352,482.352,41373311
2024-10-30,497.844,498.801,494.355,494.843,494.843,29848350
2024-10-29,494.185,499.798,492.321,498.612,498.612,28101040
2024-10-28,496.917,496.977,493.567,493.867,493.867,20541360
2024-10-25,493.607,498.732,492.899,493.787,493.787,38882496
2024-10-24,490.587,491.474,487.925,490.796,490.796,22093315
2024-10-23,492.062,492.721,483.548,486.848,486.848,39468733
2024-10-22,491.205,495.905,490.447,494.425,494.425,26768698
2024-10-21,491.723,494.694,489.789,493.887,493.887,30430742
2024-10-18,492.531,494.036,491.773,492.939,492.939,25413693
2024-10-17,494.903,494.953,489.67,489.729,489.729,27295145
2024-10-16,489.66,490.168,486.06,489.39,489.39,23068179
2024-10-15,496.289,496.957,487.168,489.331,489.331,34892509
2024-10-14,494.235,497.286,493.727,495.96,495.96,26141060
2024-10-11,489.221,492.859,488.653,491.833,491.833,20708596
